a_quitte_l_entreprise,age,annees_dans_l_entreprise,annees_dans_le_poste_actuel,annees_depuis_la_derniere_promotion,annees_experience_totale,annes_sous_responsable_actuel,augmentation_salaire_precedente,departement_Commercial,departement_Consulting,departement_Ressources Humaines,distance_domicile_travail,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement,genre,heure_supplementaires,id_employee,nb_formations_suivies,niveau_education,niveau_hierarchique_poste,nombre_experiences_precedentes,nombre_participation_pee,note_evaluation_precedente,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Representant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,revenu_mensuel,satisfaction_employee_environnement,satisfaction_employee_equilibre_pro_perso,satisfaction_employee_equipe,satisfaction_employee_nature_travail,satisfaction_globale,score_environnement_travail,score_equilibre_pro_perso,score_mobilite_externe,score_mobilite_interne,score_revenu,statut_marital_Celibataire,statut_marital_Divorce(e),statut_marital_Marie(e)
1,29,7,7,0,7,7,11,0,1,0,8,1,0,0,0,0,0,0.5,1,1,454,4,4,1,1,0,1,0,0,1,0,0,0,0,0,0,2119,2,2,4,1,0.56,44.12,39.58,100.0,100.0,34.93,0,0,1
0,29,3,2,2,4,2,17,0,1,0,9,1,0,0,0,0,0,0.5,1,0,455,2,5,1,0,0,2,0,0,1,0,0,0,0,0,0,3983,2,3,3,4,0.75,61.18,72.02,75.0,66.67,47.91,1,0,0
0,30,10,9,1,10,2,13,1,0,0,5,0,0,0,1,0,0,0.5,0,0,456,2,3,2,1,3,2,0,1,0,0,0,0,0,0,0,6118,4,3,3,3,0.81,71.18,75.6,100.0,90.0,44.39,0,1,0
0,27,8,7,0,8,7,18,1,0,0,8,0,0,0,1,0,0,0.5,0,0,458,3,4,2,1,1,3,0,1,0,0,0,0,0,0,0,6214,2,3,1,2,0.5,24.12,72.92,100.0,87.5,58.55,0,0,1
0,37,6,2,0,8,4,16,0,1,0,5,0,0,0,0,0,1,0.5,1,0,460,2,2,2,7,2,3,0,0,0,0,0,0,0,0,1,6347,4,2,3,4,0.81,82.35,67.26,75.0,33.33,54.06,0,1,0
0,38,11,10,2,12,9,14,0,1,0,15,0,0,1,0,0,0,0.5,1,1,461,3,2,3,0,1,2,0,0,0,1,0,0,0,0,0,11510,3,3,2,4,0.75,65.29,41.67,91.67,90.91,53.92,0,1,0
0,31,11,9,4,11,10,14,0,1,0,7,0,0,0,0,0,1,0.5,0,1,462,2,4,3,1,0,3,0,0,0,0,0,0,0,0,1,7143,3,2,3,4,0.75,75.88,40.48,100.0,81.82,41.93,1,0,0
0,29,7,7,1,7,7,14,1,0,0,10,0,0,0,1,0,0,0.5,0,1,463,2,1,2,1,2,2,0,1,0,0,0,0,0,0,0,8268,4,3,1,2,0.62,44.12,46.13,100.0,100.0,50.49,0,1,0
0,35,16,6,0,17,13,13,0,1,0,5,0,1,0,0,0,0,0.5,1,0,464,5,4,3,0,0,3,0,0,0,0,0,0,0,0,1,8095,3,3,4,2,0.75,67.65,75.6,94.12,37.5,50.03,1,0,0
0,23,4,2,0,4,2,12,0,1,0,26,0,0,1,0,0,0,0.5,1,0,465,2,1,1,1,2,3,1,0,0,0,0,0,0,0,0,2904,3,2,3,4,0.75,71.18,48.51,100.0,50.0,38.65,0,1,0
0,41,5,4,1,8,2,15,0,1,0,6,0,0,0,0,0,1,0.5,1,1,466,3,3,2,6,0,2,0,0,0,0,0,0,0,0,1,6032,4,3,4,2,0.81,71.18,49.7,62.5,80.0,48.96,1,0,0
0,47,0,0,0,5,0,19,1,0,0,4,0,0,0,0,0,1,1.0,1,0,467,3,1,2,3,0,3,0,0,0,0,0,1,0,0,0,2976,2,3,1,3,0.56,30.0,63.99,0.0,0.0,55.28,1,0,0
0,42,1,0,0,16,0,14,0,1,0,23,0,0,1,0,0,0,0.5,0,0,468,2,5,4,2,0,3,0,0,0,1,0,0,0,0,0,15992,1,3,2,4,0.62,40.0,59.52,6.25,0.0,66.11,1,0,0
0,29,4,3,0,4,2,14,1,0,0,2,0,0,1,0,0,0,0.0,1,0,469,3,3,2,1,1,3,0,1,0,0,0,0,0,0,0,4649,4,2,1,3,0.62,51.18,82.44,100.0,75.0,46.4,0,0,1
0,42,3,2,1,4,0,11,0,0,1,2,0,1,0,0,0,0,0.5,1,1,470,5,1,1,0,1,3,0,0,0,0,0,0,1,0,0,2696,3,3,3,3,0.75,60.0,53.27,75.0,66.67,33.73,0,1,0
0,32,8,0,0,8,7,13,0,1,0,2,0,0,0,0,0,1,0.5,0,0,471,4,3,1,1,1,3,0,0,1,0,0,0,0,0,0,2370,3,3,3,2,0.69,54.12,78.27,100.0,0.0,40.08,0,0,1
0,48,0,0,0,15,0,21,1,0,0,29,0,0,0,0,0,1,0.5,0,0,473,3,1,3,3,1,3,0,0,0,0,0,0,0,1,0,12504,1,1,2,3,0.44,30.0,37.5,0.0,0.0,76.55,0,0,1
0,37,7,7,6,13,7,13,0,1,0,6,0,0,0,0,0,1,0.5,1,1,474,2,3,2,4,2,4,1,0,0,0,0,0,0,0,0,5974,3,3,1,1,0.5,24.12,49.7,53.85,100.0,33.14,0,1,0
0,30,2,2,2,4,2,12,1,0,0,25,0,1,0,0,0,0,0.0,0,1,475,2,2,2,7,1,3,0,1,0,0,0,0,0,0,0,4736,4,4,2,3,0.81,61.18,53.57,50.0,100.0,37.43,0,0,1
0,26,8,7,7,8,7,17,1,0,0,1,0,0,1,0,0,0,0.5,1,0,476,3,3,2,1,1,3,0,1,0,0,0,0,0,0,0,5296,3,3,2,3,0.69,54.12,79.17,100.0,87.5,39.19,0,0,1
0,42,1,0,0,14,0,23,0,1,0,2,1,0,0,0,0,0,0.5,1,0,477,6,4,2,3,0,2,0,0,0,0,1,0,0,0,0,6781,1,3,2,4,0.62,40.0,78.27,7.14,0.0,71.32,1,0,0
1,21,3,2,1,3,2,11,1,0,0,1,0,1,0,0,0,0,1.0,0,1,478,3,1,1,1,0,2,0,0,0,0,0,1,0,0,0,2174,1,3,3,2,0.56,31.18,41.67,100.0,66.67,32.82,1,0,0
0,36,1,0,0,7,0,15,1,0,0,1,0,0,0,0,0,1,0.0,0,0,479,6,5,2,4,0,3,0,1,0,0,0,0,0,0,0,6653,4,3,2,4,0.81,70.0,91.67,14.29,0.0,52.24,1,0,0
0,36,13,9,1,16,12,11,1,0,0,3,0,0,0,0,0,1,1.0,1,0,481,2,4,3,4,1,2,0,1,0,0,0,0,0,0,0,9699,1,3,1,4,0.56,37.06,64.88,81.25,69.23,45.9,0,0,1
0,57,3,2,1,15,2,11,0,1,0,1,0,0,0,0,0,1,0.5,1,0,482,2,4,2,2,0,3,0,0,0,0,1,0,0,0,0,6755,4,3,3,3,0.81,71.18,79.17,20.0,66.67,40.79,0,0,1
0,40,7,7,1,10,7,13,0,1,0,10,0,0,1,0,0,0,0.5,0,1,483,3,4,1,3,1,4,0,0,1,0,0,0,0,0,0,2213,4,3,3,3,0.81,74.12,46.13,70.0,100.0,37.61,0,0,1
0,21,3,2,2,3,2,24,1,0,0,9,0,0,0,0,0,1,0.0,1,0,484,3,2,1,1,0,3,0,0,0,0,0,1,0,0,0,2610,1,2,3,4,0.62,51.18,76.19,100.0,66.67,62.03,1,0,0
1,33,1,0,0,1,0,13,1,0,0,5,0,0,0,1,0,0,0.5,0,1,485,2,3,1,1,0,3,0,0,0,0,0,1,0,0,0,2851,4,3,2,3,0.75,60.0,50.6,100.0,0.0,40.92,1,0,0
0,37,5,4,0,17,3,20,0,1,0,10,0,0,0,0,0,1,0.5,0,0,486,3,3,1,6,1,3,0,0,1,0,0,0,0,0,0,3452,3,3,2,1,0.56,31.76,71.13,29.41,80.0,58.46,0,0,1
0,46,1,0,0,7,0,14,0,1,0,7,0,0,0,0,0,1,0.0,0,0,487,2,4,2,2,0,3,0,0,0,0,0,0,0,0,1,5258,3,4,3,3,0.81,60.0,94.64,14.29,0.0,47.46,0,0,1
1,41,8,7,7,8,7,18,1,0,0,4,0,0,0,1,0,0,1.0,1,0,488,5,3,2,1,0,3,0,1,0,0,0,0,0,0,0,9355,1,3,3,2,0.56,34.12,63.99,100.0,87.5,48.6,1,0,0
0,50,4,3,1,20,3,15,0,1,0,10,0,1,0,0,0,0,0.5,1,0,491,2,3,3,6,0,2,0,0,0,0,1,0,0,0,0,10496,4,3,4,4,0.94,91.76,71.13,20.0,75.0,56.71,1,0,0
1,40,6,4,1,8,0,12,1,0,0,22,0,0,0,1,0,0,0.5,1,1,492,6,2,2,2,2,2,0,1,0,0,0,0,0,0,0,6380,3,3,1,3,0.62,40.0,35.42,75.0,66.67,42.49,0,0,1
0,31,2,2,2,3,2,16,0,1,0,9,0,0,1,0,0,0,0.5,1,1,493,5,4,1,0,0,2,1,0,0,0,0,0,0,0,0,2657,3,3,4,2,0.75,61.18,47.02,66.67,100.0,43.25,1,0,0
1,21,1,0,0,1,0,15,1,0,0,12,0,0,1,0,0,0,0.5,0,0,494,0,3,1,1,0,4,0,0,0,0,0,1,0,0,0,2716,3,3,4,2,0.75,60.0,69.35,100.0,0.0,45.39,1,0,0
0,29,3,2,1,6,2,16,0,1,0,23,0,0,1,0,0,0,0.5,1,0,495,4,3,1,9,0,3,1,0,0,0,0,0,0,0,0,2201,4,3,4,4,0.94,91.18,59.52,50.0,66.67,44.66,1,0,0
0,35,1,1,0,10,0,19,0,1,0,9,0,0,1,0,0,0,0.5,1,0,496,5,4,2,9,0,2,0,0,0,0,1,0,0,0,0,6540,3,3,3,2,0.69,50.0,72.02,10.0,100.0,61.47,1,0,0
0,27,5,2,0,5,4,11,0,1,0,1,0,0,0,0,0,1,0.5,1,0,497,2,2,1,1,1,3,0,0,1,0,0,0,0,0,0,3816,4,3,2,2,0.69,52.35,79.17,100.0,40.0,37.88,0,1,0
0,28,7,5,0,7,7,16,1,0,0,9,0,0,1,0,0,0,0.5,1,0,498,1,4,2,1,0,3,0,1,0,0,0,0,0,0,0,5253,2,3,4,4,0.81,74.12,72.02,100.0,71.43,52.16,1,0,0
0,49,5,2,0,26,0,24,0,1,0,7,1,0,0,0,0,0,0.5,1,0,499,2,3,3,8,0,2,0,0,0,0,1,0,0,0,0,10965,2,3,3,3,0.69,50.0,73.81,19.23,40.0,80.94,1,0,0
0,51,7,7,0,18,7,11,1,0,0,14,0,0,1,0,0,0,0.5,0,0,500,2,2,2,4,1,3,0,1,0,0,0,0,0,0,0,4936,3,2,3,4,0.75,74.12,59.23,38.89,100.0,39.82,0,0,1
0,36,2,2,2,6,2,13,0,1,0,2,0,0,1,0,0,0,0.5,0,0,501,3,3,1,4,1,3,1,0,0,0,0,0,0,0,0,2543,4,3,2,3,0.75,61.18,78.27,33.33,100.0,35.98,0,0,1
1,34,5,2,0,9,4,13,1,0,0,19,0,0,0,1,0,0,0.0,1,1,502,3,3,2,8,0,4,0,1,0,0,0,0,0,0,0,5304,1,2,2,4,0.56,42.35,42.26,55.56,40.0,45.18,1,0,0
0,55,5,4,1,30,2,13,0,1,0,2,0,0,1,0,0,0,0.5,0,1,505,2,3,4,2,0,3,0,0,0,0,0,0,0,1,0,16659,3,3,3,4,0.81,71.18,53.27,16.67,80.0,62.71,1,0,0
0,24,5,2,0,5,3,12,1,0,0,10,0,0,0,1,0,0,0.5,0,1,507,2,4,2,1,1,3,0,1,0,0,0,0,0,0,0,4260,4,4,4,3,0.94,81.76,54.46,100.0,40.0,41.01,0,1,0
0,30,1,0,0,1,0,18,1,0,0,2,0,1,0,0,0,0,0.5,1,0,508,3,1,1,1,1,3,0,0,0,0,0,1,0,0,0,2476,3,3,1,2,0.56,30.0,78.27,100.0,0.0,52.05,0,0,1
1,26,6,4,0,7,4,22,0,1,0,3,0,1,0,0,0,0,1.0,1,0,510,2,1,1,0,0,3,1,0,0,0,0,0,0,0,0,3102,3,3,3,1,0.62,42.35,64.88,85.71,66.67,62.57,1,0,0
0,22,2,1,1,2,2,13,0,1,0,11,0,0,0,0,0,1,0.5,0,0,511,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,2244,1,3,4,2,0.62,41.18,70.24,100.0,50.0,37.66,0,0,1
0,36,10,9,9,10,0,13,1,0,0,2,0,0,0,0,0,1,0.5,1,0,513,2,2,3,1,2,2,0,1,0,0,0,0,0,0,0,7596,2,3,2,3,0.62,40.0,78.27,100.0,90.0,29.36,0,0,1
1,30,1,0,0,3,0,23,0,1,0,4,0,1,0,0,0,0,1.0,1,1,514,4,3,1,9,0,3,1,0,0,0,0,0,0,0,0,2285,3,3,3,4,0.81,70.0,38.99,33.33,0.0,63.5,1,0,0
0,37,18,7,12,18,17,12,0,1,0,14,0,0,1,0,0,0,0.5,0,0,515,2,3,1,1,1,3,0,0,1,0,0,0,0,0,0,3034,4,2,3,1,0.62,60.0,59.23,100.0,38.89,12.48,0,1,0
0,40,5,4,1,8,3,12,1,0,0,2,0,0,0,1,0,0,0.5,0,0,516,5,2,2,7,2,3,0,1,0,0,0,0,0,0,0,5715,4,3,3,2,0.75,61.76,78.27,62.5,80.0,41.34,0,1,0
0,42,5,2,1,8,2,16,0,1,0,1,0,0,1,0,0,0,0.5,0,0,517,5,4,1,3,1,3,0,0,1,0,0,0,0,0,0,2576,2,3,2,1,0.5,21.18,79.17,62.5,40.0,45.31,0,1,0
0,37,1,0,0,18,1,12,0,1,0,10,0,0,1,0,0,0,0.5,1,1,518,2,4,2,2,0,3,0,0,0,0,0,0,0,0,1,4197,3,2,4,2,0.69,60.59,37.8,5.56,0.0,40.9,1,0,0
0,43,25,10,3,25,9,11,0,1,0,12,0,0,1,0,0,0,0.5,1,0,520,3,3,4,1,1,2,0,0,0,1,0,0,0,0,0,14336,1,3,3,2,0.56,35.29,69.35,100.0,40.0,49.56,0,1,0
0,40,1,0,0,20,0,22,0,1,0,2,0,0,0,0,0,1,0.5,0,0,521,3,3,2,6,1,2,0,0,1,0,0,0,0,0,0,3448,2,3,2,3,0.62,40.0,78.27,5.0,0.0,63.17,0,0,1
0,54,4,2,1,24,2,11,0,1,0,5,0,0,0,0,0,1,0.5,1,0,522,4,2,5,4,1,3,0,0,0,1,0,0,0,0,0,19406,1,2,3,1,0.44,21.18,67.26,16.67,50.0,62.77,0,0,1
0,34,3,2,1,6,2,15,1,0,0,4,0,0,0,1,0,0,0.0,0,0,523,3,4,2,9,1,3,0,1,0,0,0,0,0,0,0,6538,3,3,1,3,0.62,41.18,88.99,50.0,66.67,49.84,0,0,1
0,31,13,10,3,13,12,12,0,1,0,7,0,0,0,0,0,1,0.5,0,0,524,5,2,2,1,1,3,0,0,0,0,0,0,0,0,1,4306,2,1,2,1,0.38,27.06,57.14,100.0,76.92,34.49,0,0,1
0,43,3,2,1,8,2,20,0,1,0,21,0,0,0,0,0,1,1.0,1,0,525,1,3,1,7,1,3,0,0,1,0,0,0,0,0,0,2258,4,3,1,4,0.75,61.18,48.81,37.5,66.67,54.18,0,0,1
0,43,5,2,0,8,2,14,0,1,0,8,1,0,0,0,0,0,0.5,0,1,526,3,4,2,4,0,3,0,0,0,0,1,0,0,0,0,4522,3,3,4,3,0.81,71.18,47.92,62.5,40.0,46.18,0,1,0
0,25,5,4,1,5,3,11,1,0,0,4,0,0,1,0,0,0,0.5,0,1,527,3,2,2,1,0,2,0,1,0,0,0,0,0,0,0,4487,2,3,2,4,0.69,51.76,51.49,100.0,80.0,36.84,1,0,0
0,37,13,11,10,15,7,15,0,1,0,25,0,0,0,0,0,1,0.0,0,1,529,2,5,2,3,2,3,1,0,0,0,0,0,0,0,0,4449,2,3,1,3,0.56,34.12,45.24,86.67,84.62,26.41,0,0,1
0,31,4,2,3,4,2,12,0,1,0,1,0,0,1,0,0,0,0.5,1,0,530,3,2,1,1,1,2,0,0,1,0,0,0,0,0,0,2218,4,3,3,1,0.69,51.18,79.17,100.0,50.0,30.86,0,0,1
0,39,21,8,1,21,6,14,0,1,0,1,0,0,1,0,0,0,1.0,1,1,531,3,1,5,1,1,3,0,0,0,0,0,0,0,1,0,19197,2,3,3,3,0.69,53.53,41.67,100.0,38.1,69.48,0,1,0
0,56,7,7,7,36,7,11,1,0,0,6,0,0,1,0,0,0,1.0,0,0,532,0,3,4,9,3,4,0,1,0,0,0,0,0,0,0,13212,3,2,4,1,0.62,54.12,53.87,19.44,100.0,38.81,0,0,1
0,30,5,4,4,6,4,11,1,0,0,12,0,1,0,0,0,0,0.5,0,0,533,6,3,2,0,0,3,0,1,0,0,0,0,0,0,0,6577,2,3,2,3,0.62,42.35,69.35,83.33,80.0,33.88,1,0,0
0,41,10,7,0,10,7,16,1,0,0,1,0,0,0,1,0,0,0.5,1,0,534,2,3,3,1,1,4,0,1,0,0,0,0,0,0,0,8392,2,3,3,1,0.56,34.12,79.17,100.0,70.0,57.62,0,0,1
0,28,10,0,1,10,8,12,0,1,0,17,0,0,0,0,0,1,0.5,1,0,536,2,2,2,1,1,3,0,0,1,0,0,0,0,0,0,4558,3,3,4,1,0.69,54.71,64.88,100.0,0.0,39.32,0,1,0
1,25,2,2,0,6,2,13,0,1,0,3,0,0,0,0,0,1,0.5,1,0,538,5,3,1,5,1,3,0,0,1,0,0,0,0,0,0,4031,1,3,3,1,0.5,21.18,77.38,33.33,100.0,42.97,0,0,1
0,52,5,4,0,28,4,14,0,1,0,3,0,0,0,0,0,1,0.5,1,1,543,4,3,3,2,0,2,0,0,0,0,0,0,0,0,1,7969,4,3,3,3,0.81,72.35,52.38,17.86,80.0,52.17,0,0,1
0,45,2,2,0,8,2,21,0,1,0,10,0,0,1,0,0,0,0.5,1,0,544,3,2,1,3,2,3,1,0,0,0,0,0,0,0,0,2654,1,2,4,4,0.69,61.18,62.8,25.0,100.0,59.43,0,0,1
0,52,5,2,1,31,4,13,0,1,0,4,0,0,1,0,0,0,0.5,0,0,546,2,2,4,2,0,3,0,0,0,0,0,0,0,1,0,16555,4,1,4,4,0.81,92.35,59.82,16.13,40.0,62.53,0,0,1
0,42,5,4,0,19,2,11,0,1,0,29,0,0,1,0,0,0,1.0,0,0,547,3,2,2,2,1,3,1,0,0,0,0,0,0,0,0,4556,1,3,2,3,0.56,31.18,41.67,26.32,80.0,39.16,0,1,0
0,30,5,4,0,11,2,20,0,1,0,2,0,0,1,0,0,0,0.5,0,0,548,2,3,2,2,0,1,0,0,0,0,0,0,0,0,1,6091,3,3,3,4,0.81,71.18,78.27,45.45,80.0,63.05,1,0,0
0,60,29,8,11,33,10,11,0,1,0,7,0,0,1,0,0,0,0.5,0,0,549,5,3,5,5,0,3,0,0,0,0,0,0,0,1,0,19566,1,1,4,1,0.44,35.88,57.14,87.88,27.59,41.05,0,0,1
0,46,10,7,0,19,8,14,0,1,0,18,0,0,0,0,0,1,0.5,0,0,550,5,3,2,2,1,3,0,0,0,0,0,0,0,0,1,4810,3,2,3,3,0.69,64.71,55.65,52.63,70.0,46.68,0,1,0
0,42,6,5,0,7,4,11,0,1,0,28,0,1,0,0,0,0,1.0,0,0,551,4,4,2,0,3,2,0,0,0,0,1,0,0,0,0,4523,4,4,4,4,1.0,92.35,50.89,85.71,83.33,39.11,0,0,1
1,24,5,3,1,6,4,16,1,0,0,1,0,1,0,0,0,0,0.5,0,1,554,4,1,1,1,0,3,0,0,0,0,0,1,0,0,0,3202,1,3,2,2,0.5,22.35,54.17,83.33,60.0,46.4,1,0,0
1,34,2,2,1,3,0,16,1,0,0,6,0,0,0,1,0,0,1.0,0,0,555,3,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2351,4,2,4,3,0.81,80.0,53.87,66.67,100.0,44.92,0,1,0
0,38,1,0,0,1,0,23,0,1,0,2,0,0,1,0,0,0,1.0,1,1,556,3,2,1,1,1,3,0,0,1,0,0,0,0,0,0,1702,4,3,3,4,0.88,80.0,40.77,100.0,0.0,62.49,0,0,1
0,40,20,15,1,21,12,14,1,0,0,2,0,0,1,0,0,0,0.5,0,0,558,2,4,5,0,0,3,0,0,0,0,0,0,0,1,0,18041,3,3,4,3,0.81,77.06,78.27,95.24,75.0,67.47,0,0,1
0,26,3,2,0,3,2,22,0,1,0,23,0,0,1,0,0,0,0.5,0,0,560,3,3,1,1,2,3,1,0,0,0,0,0,0,0,0,2886,1,1,2,4,0.5,41.18,42.86,100.0,66.67,62.19,0,1,0
0,30,5,3,1,9,4,15,0,1,0,3,0,0,1,0,0,0,0.0,1,0,562,3,3,1,4,1,3,0,0,1,0,0,0,0,0,0,2097,3,1,3,4,0.69,72.35,73.21,55.56,60.0,42.12,0,0,1
0,29,10,2,0,10,7,18,0,1,0,3,0,0,0,0,0,1,0.5,1,0,564,2,4,3,1,0,2,0,0,0,1,0,0,0,0,0,11935,2,3,3,3,0.69,54.12,77.38,100.0,20.0,68.49,0,0,1
1,29,2,2,1,6,1,16,0,1,0,25,0,1,0,0,0,0,0.5,0,0,565,2,5,1,5,0,2,1,0,0,0,0,0,0,0,0,2546,3,4,2,2,0.69,40.59,66.07,33.33,100.0,45.26,0,0,1
1,19,1,0,0,1,0,12,0,0,1,2,0,1,0,0,0,0,0.5,1,0,566,3,2,1,1,0,2,0,0,0,0,0,0,1,0,0,2564,1,4,3,4,0.75,50.0,86.61,100.0,0.0,38.06,1,0,0
0,30,9,8,7,10,8,11,1,0,0,22,1,0,0,0,0,0,0.0,0,0,567,3,4,3,0,0,3,0,1,0,0,0,0,0,0,0,8412,3,3,3,1,0.62,44.71,72.92,90.0,88.89,30.46,0,0,1
0,57,1,0,0,32,0,12,1,0,0,29,0,0,0,1,0,0,0.5,1,0,568,3,3,4,3,1,2,0,0,0,0,0,0,0,1,0,14118,1,2,3,4,0.62,50.0,45.83,3.12,0.0,58.14,0,1,0
0,50,27,10,15,28,7,15,0,1,0,29,0,0,1,0,0,0,0.5,1,0,569,2,4,4,0,1,2,0,0,0,0,0,0,0,1,0,17046,2,3,2,3,0.62,44.12,54.17,96.43,37.04,37.3,0,0,1
0,30,11,7,6,12,7,14,0,1,0,2,0,0,0,0,0,1,0.0,0,0,571,2,3,1,0,0,3,0,0,1,0,0,0,0,0,0,2564,3,2,3,4,0.75,74.12,82.44,91.67,63.64,29.57,1,0,0
0,60,18,13,13,22,11,19,1,0,0,28,0,0,0,1,0,0,1.0,0,0,573,5,3,3,4,0,2,0,1,0,0,0,0,0,0,0,10266,3,4,4,1,0.75,56.47,50.89,81.82,72.22,39.34,0,0,1
0,47,5,0,0,20,4,13,0,1,0,2,0,0,0,0,0,1,0.5,0,0,574,2,2,2,5,3,3,0,0,0,0,0,0,0,0,1,5070,1,3,3,4,0.69,52.35,78.27,25.0,0.0,44.77,0,1,0
0,46,3,2,0,26,1,13,0,1,0,2,0,0,1,0,0,0,0.5,1,0,575,2,3,4,6,0,3,0,0,0,1,0,0,0,0,0,17861,1,1,3,3,0.5,40.59,61.61,11.54,66.67,67.0,0,0,1
0,35,5,4,4,6,3,15,0,1,0,22,0,0,1,0,0,0,0.5,1,0,577,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,4230,4,3,3,3,0.81,71.76,60.42,83.33,80.0,39.23,1,0,0
0,54,1,0,0,19,0,11,0,1,0,8,0,0,1,0,0,0,0.5,0,0,578,3,4,2,7,0,3,0,0,1,0,0,0,0,0,0,3780,3,3,3,3,0.75,60.0,72.92,5.26,0.0,37.82,1,0,0
0,34,7,3,5,14,7,12,0,1,0,2,0,0,1,0,0,0,0.5,1,0,579,3,4,1,3,1,2,1,0,0,0,0,0,0,0,0,2768,4,3,3,3,0.81,74.12,78.27,50.0,42.86,27.41,0,1,0
0,46,3,2,1,15,2,19,1,0,0,10,0,0,0,1,0,0,0.5,0,1,580,3,3,3,2,1,2,0,1,0,0,0,0,0,0,0,9071,3,3,3,4,0.81,71.18,46.13,20.0,66.67,63.67,0,0,1
0,31,13,8,0,13,8,25,0,1,0,9,0,0,1,0,0,0,0.5,1,0,581,6,1,3,1,1,3,0,0,0,0,0,0,0,0,1,10648,3,4,4,2,0.81,64.71,80.36,100.0,61.54,82.75,0,1,0
1,33,7,6,7,15,7,12,0,1,0,15,0,0,0,0,0,1,0.5,1,1,582,2,1,3,7,0,3,0,0,0,0,0,0,0,1,0,13610,2,4,4,3,0.81,64.12,50.0,46.67,85.71,41.85,0,0,1
1,33,4,3,1,8,3,13,0,1,0,10,0,0,0,0,0,1,0.5,1,0,584,2,1,1,7,3,1,0,0,1,0,0,0,0,0,0,3408,1,3,1,4,0.56,31.76,71.13,50.0,75.0,39.68,0,1,0
0,30,3,2,1,4,2,14,1,0,0,7,0,0,0,1,0,0,0.5,1,0,585,3,1,1,0,0,3,0,0,0,0,0,1,0,0,0,2983,4,3,1,2,0.62,41.18,73.81,75.0,66.67,41.3,1,0,0
0,35,8,7,0,10,0,12,0,1,0,16,0,0,1,0,0,0,0.5,1,1,586,2,3,3,4,0,3,0,0,0,0,1,0,0,0,0,7632,4,3,3,3,0.81,70.0,40.77,80.0,87.5,46.87,0,0,1
1,31,1,0,0,12,0,12,0,1,0,20,0,0,1,0,0,0,1.0,1,0,587,2,3,3,3,0,3,0,0,0,0,1,0,0,0,0,9824,1,3,1,3,0.5,20.0,49.7,8.33,0.0,50.68,0,0,1
1,34,3,2,0,11,2,15,0,0,1,23,0,0,0,0,1,0,1.0,0,1,590,2,3,3,9,3,3,0,0,0,0,0,0,1,0,0,9950,2,3,3,1,0.56,31.18,22.02,27.27,66.67,57.97,0,1,0
0,42,2,2,2,8,0,17,0,1,0,5,1,0,0,0,0,0,1.0,1,0,591,4,2,1,4,1,3,0,0,1,0,0,0,0,0,0,2093,2,3,4,3,0.75,60.0,63.1,25.0,100.0,44.63,0,0,1
0,36,10,3,9,10,7,14,1,0,0,10,0,0,0,0,0,1,0.0,1,0,592,3,4,3,1,0,3,0,1,0,0,0,0,0,0,0,9980,2,2,4,4,0.75,74.12,75.3,100.0,30.0,35.86,1,0,0
1,22,2,2,1,4,2,16,0,1,0,4,0,1,0,0,0,0,1.0,1,0,593,3,1,1,5,0,2,0,0,1,0,0,0,0,0,0,3894,3,3,3,3,0.75,61.18,63.99,50.0,100.0,47.6,1,0,0
0,48,9,7,6,14,7,14,1,0,0,2,0,0,0,1,0,0,0.5,0,0,595,2,5,2,2,1,3,0,1,0,0,0,0,0,0,0,4051,2,3,1,4,0.62,44.12,78.27,64.29,77.78,32.16,0,0,1
0,55,10,9,7,37,7,23,1,0,0,18,0,0,1,0,0,0,0.5,0,0,597,2,5,4,3,0,3,0,0,0,0,0,0,0,1,0,16835,1,3,4,2,0.62,44.12,63.99,27.03,90.0,73.39,1,0,0
0,41,14,3,1,16,10,14,1,0,0,10,0,0,1,0,0,0,0.0,1,0,599,3,2,2,7,0,3,0,1,0,0,0,0,0,0,0,6230,4,3,4,4,0.94,95.88,83.63,87.5,21.43,46.94,1,0,0
0,35,11,9,6,15,9,11,1,0,0,1,0,0,0,1,0,0,0.5,1,0,600,2,3,2,9,0,3,0,1,0,0,0,0,0,0,0,4717,2,3,3,3,0.69,55.29,79.17,73.33,81.82,26.24,0,0,1
0,40,20,6,5,22,13,15,0,1,0,6,0,0,1,0,0,0,0.5,0,0,601,3,3,4,7,0,3,0,0,0,0,0,0,0,0,1,13237,2,3,3,3,0.69,57.65,74.7,90.91,30.0,52.68,1,0,0
0,39,8,3,0,8,7,11,0,1,0,8,0,0,1,0,0,0,1.0,0,0,602,3,1,1,1,1,3,0,0,1,0,0,0,0,0,0,3755,3,3,1,3,0.62,44.12,60.42,100.0,37.5,37.77,0,0,1
